0.1
1.8
0.4
0.00761775, 0.02631008, 0.03705472, 0.01169779, 0.02368801, 0.04030055
0.01179908, 0.02823241, 0.04592262, 0.00454631, 0.03059555, 0.02589303
0.01074623, 0.02738562, 0.03465427, 0.00659818, -0.00125862, 0.04585452
0.00772331, 0.02190695, 0.02873386, 0.00569439, 0.02013675, 0.03708302
0.00843096, 0.03262008, 0.01192953, 0.00448187, 0.02746973, 0.03329825
0.00761775, 0.02631008, 0.03705472, 0.01169779, 0.02368801, 0.04030055
0.01179908, 0.02823241, 0.04592262, 0.00454631, 0.03059555, 0.02589303
0.01074623, 0.02738562, 0.03465427, 0.00659818, -0.00125862, 0.04585452
0.00772331, 0.02190695, 0.02873386, 0.00569439, 0.02013675, 0.03708302
0.00843096, 0.03262008, 0.01192953, 0.00448187, 0.02746973, 0.03329825
0.00761775, 0.02631008, 0.03705472, 0.01169779, 0.02368801, 0.04030055
0.01179908, 0.02823241, 0.04592262, 0.00454631, 0.03059555, 0.02589303
0.01074623, 0.02738562, 0.03465427, 0.00659818, -0.00125862, 0.04585452
0.00772331, 0.02190695, 0.02873386, 0.00569439, 0.02013675, 0.03708302
0.00843096, 0.03262008, 0.01192953, 0.00448187, 0.02746973, 0.03329825
0.00761775, 0.02631008, 0.03705472, 0.01169779, 0.02368801, 0.04030055
0.01179908, 0.02823241, 0.04592262, 0.00454631, 0.03059555, 0.02589303
0.01074623, 0.02738562, 0.03465427, 0.00659818, -0.00125862, 0.04585452
0.00772331, 0.02190695, 0.02873386, 0.00569439, 0.02013675, 0.03708302
0.00843096, 0.03262008, 0.01192953, 0.00448187, 0.02746973, 0.03329825
